model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.878,0.075,0.233,0.252,0.346,0.295,0.147,4e-06,original,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0017058849334716797
rf,lc,0.925,0.913,0.913,0.925,0.15,0.175,0.175,0.15,18.715,0.314,0.231,0.253,0.353,0.302,0.14,7e-06,original,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0017058849334716797
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.482,0.003,0.23,0.197,0.224,0.2,0.131,6e-06,original,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0017058849334716797
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.156,0.007,0.244,0.175,0.172,0.175,0.123,6e-06,original,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0017058849334716797
mlp,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,6.249,2.612,0.214,0.225,0.299,0.251,0.134,1.4e-05,original,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0017058849334716797
xgb,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,7.174,10.55,0.18,0.183,0.236,0.195,0.141,1.2e-05,latent,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0017058849334716797
rf,lc,0.975,0.975,0.975,0.975,0.05,0.051,0.051,0.05,19.337,0.404,0.225,0.253,0.371,0.322,0.108,1e-05,latent,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0017058849334716797
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.333,0.003,0.213,0.183,0.209,0.186,0.121,5e-06,latent,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0017058849334716797
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.003,0.006,0.234,0.182,0.192,0.182,0.125,7e-06,latent,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0017058849334716797
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.593,0.248,0.218,0.223,0.289,0.243,0.136,2.3e-05,latent,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0017058849334716797
xgb,craig,0.517,0.432,0.509,0.6,0.133,0.155,0.161,0.122,8.726,0.12,0.393,0.3,0.309,0.3,0.322,4e-06,original,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0014274120330810547
rf,craig,0.517,0.406,0.455,0.55,0.186,0.179,0.213,0.187,20.556,0.464,0.44,0.411,0.483,0.443,0.437,1.2e-05,original,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0014274120330810547
svc,craig,0.517,0.406,0.455,0.55,0.186,0.179,0.213,0.187,8.052,0.002,0.527,0.521,0.632,0.616,0.466,4e-06,original,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0014274120330810547
logreg,craig,0.617,0.512,0.562,0.65,0.145,0.184,0.191,0.122,5.159,0.008,0.477,0.437,0.503,0.466,0.48,8e-06,original,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0014274120330810547
mlp,craig,0.567,0.486,0.535,0.6,0.207,0.215,0.227,0.2,6.14,1.559,0.508,0.471,0.543,0.507,0.501,2.1e-05,original,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0014274120330810547
xgb,craig,0.617,0.593,0.6,0.6,0.348,0.336,0.339,0.339,6.954,11.483,0.669,0.695,0.795,0.817,0.755,5e-06,latent,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0014274120330810547
rf,craig,0.617,0.579,0.629,0.65,0.145,0.129,0.113,0.122,21.27,0.283,0.716,0.734,0.814,0.822,0.8,7e-06,latent,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0014274120330810547
svc,craig,0.733,0.653,0.667,0.7,0.122,0.16,0.167,0.1,3.195,0.004,0.5,0.494,0.605,0.583,0.486,3e-06,latent,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0014274120330810547
logreg,craig,0.683,0.627,0.64,0.65,0.22,0.213,0.221,0.2,6.735,0.007,0.507,0.501,0.611,0.59,0.507,8e-06,latent,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0014274120330810547
